"220","28.24","6212.8"
"221","28.24","6241.04"
"222","28.24","6269.28"
"223","28.24","6297.52"
"224","28.24","6325.76"
"225","28.24","6354"
"226","28.24","6382.24"
"227","28.24","6410.48"
"228","28.24","6438.72"
"229","28.24","6466.96"
"230","28.24","6495.2"
"231","28.24","6523.44"
"232","28.24","6551.68"
"233","28.24","6579.92"
"234","28.24","6608.16"
"235","28.24","6636.4"
"236","28.24","6664.64"
"237","28.24","6692.88"
"238","28.24","6721.12"
"239","28.24","6749.36"
"240","28.24","6777.6"
"241","28.24","6805.84"
"242","28.24","6834.08"
"243","28.24","6862.32"
"244","28.24","6890.56"
"245","28.24","6918.8"
"246","28.24","6947.04"
"247","28.24","6975.28"
"248","28.24","7003.52"
"249","28.24","7031.76"
"250","28.24","7060"
"251","28.24","7088.24"
"252","28.24","7116.48"
"253","28.24","7144.72"
"254","28.24","7172.96"
"255","28.24","7201.2"
"256","28.24","7229.44"
"257","28.24","7257.68"
"258","28.24","7285.92"
"259","28.24","7314.16"
"260","28.24","7342.4"
"261","28.24","7370.64"
"262","28.24","7398.88"
"263","28.24","7427.12"
"264","28.24","7455.36"
"265","28.24","7483.6"
"266","28.24","7511.84"
"267","28.24","7540.08"
"268","28.24","7568.32"
"269","28.24","7596.56"
"270","28.24","7624.8"
"271","28.24","7653.04"
"272","28.24","7681.28"
"273","28.24","7709.52"
"274","28.24","7737.76"
"275","28.24","7766"
"276","28.24","7794.24"
"277","28.24","7822.48"
"278","28.24","7850.72"
"279","28.24","7878.96"
"280","28.24","7907.2"
"281","28.24","7935.44"
"282","28.24","7963.68"
"283","28.24","7991.92"
"284","28.24","8020.16"
"285","28.24","8048.4"
"286","28.24","8076.64"
"287","28.24","8104.88"
"288","28.24","8133.12"
"289","28.24","8161.36"
"290","28.24","8189.6"
"291","28.24","8217.84"
"292","28.24","8246.08"
"293","28.24","8274.32"
"294","28.24","8302.56"
"295","28.24","8330.8"
"296","28.24","8359.04"
"297","28.24","8387.28"
"298","28.24","8415.52"
"299","28.24","8443.76"
"300","28.24","8472"
"301","28.24","8500.24"
"302","28.24","8528.48"
"303","28.24","8556.72"
"304","28.24","8584.96"
"305","28.24","8613.2"
"306","28.24","8641.44"
"307","28.24","8669.68"
"308","28.24","8697.92"
"309","28.24","8726.16"
"310","28.24","8754.4"
"311","28.24","8782.64"
"312","28.24","8810.88"
"313","28.24","8839.12"
"314","28.24","8867.36"
"315","28.24","8895.6"
"316","28.24","8923.84"
"317","28.24","8952.08"
"318","28.24","8980.32"
"319","28.24","9008.56"
"320","28.24","9036.8"
"321","28.24","9065.04"
"322","28.24","9093.28"
"323","28.24","9121.52"
"324","28.24","9149.76"
"325","28.24","9178"
"326","28.24","9206.24"
"327","28.24","9234.48"
"328","28.24","9262.72"
"329","28.24","9290.96"
"330","28.24","9319.2"
"331","28.24","9347.44"
"332","28.24","9375.68"
"333","28.24","9403.92"
"334","28.24","9432.16"
"335","28.24","9460.4"
"336","28.24","9488.64"
"337","28.24","9516.88"
"338","28.24","9545.12"
"339","28.24","9573.36"
"340","28.24","9601.6"
"341","28.24","9629.84"
"342","28.24","9658.08"
"343","28.24","9686.32"
"344","28.24","9714.56"
"345","28.24","9742.8"
"346","28.24","9771.04"
"347","28.24","9799.28"
"348","28.24","9827.52"
"349","28.24","9855.76"
"350","28.24","9884"
"351","28.24","9912.24"
"352","28.24","9940.48"
"353","28.24","9968.72"
"354","28.24","9996.96"
"355","28.24","10025.2"
"356","28.24","10053.44"
"357","28.24","10081.68"
"358","28.24","10109.92"
"359","28.24","10138.16"
"360","28.24","10166.4"
"361","28.24","10194.64"
"362","28.24","10222.88"
"363","28.24","10251.12"
"364","28.24","10279.36"
"365","28.24","10307.6"
"366","28.24","10335.84"
"367","28.24","10364.08"
"368","28.24","10392.32"
"369","28.24","10420.56"
"370","28.24","10448.8"
"371","28.24","10477.04"
"372","28.24","10505.28"
"373","28.24","10533.52"
"374","28.24","10561.76"
"375","28.24","10590"
"376","28.24","10618.24"
"377","28.24","10646.48"
"378","28.24","10674.72"
"379","28.24","10702.96"
"380","28.24","10731.2"
"381","28.24","10759.44"
"382","28.24","10787.68"
"383","28.24","10815.92"
"384","28.24","10844.16"
"385","28.24","10872.4"
"386","28.24","10900.64"
"387","28.24","10928.88"
"388","28.24","10957.12"
"389","28.24","10985.36"
"390","28.24","11013.6"
"391","28.24","11041.84"
"392","28.24","11070.08"
"393","28.24","11098.32"
"394","28.24","11126.56"
"395","28.24","11154.8"
"396","28.24","11183.04"
"397","28.24","11211.28"
"398","28.24","11239.52"
"399","28.24","11267.76"
"400","28.24","11296"
"401","28.24","11324.24"
"402","28.24","11352.48"
"403","28.24","11380.72"
"404","28.24","11408.96"
"405","28.24","11437.2"
"406","28.24","11465.44"
"407","28.24","11493.68"
"408","28.24","11521.92"
"409","28.24","11550.16"
"410","28.24","11578.4"
"411","28.24","11606.64"
"412","28.24","11634.88"
